순서,제품명,유튜브링크
1,다이슨,https://www.youtube.com/watch?v=G2PbFW4f110
2,안방그릴,https://www.youtube.com/watch?v=g1VbbLwej2k
3,고비,https://www.youtube.com/watch?v=FVRKUZlJ7e4
4,테팔,https://www.youtube.com/watch?v=BTRh660N0Gg
5,코웨이 비렉스,https://www.youtube.com/watch?v=70TjI9-N_DI
6,로보락,https://www.youtube.com/watch?v=RRXb6wI9IQI
7,귀뚜라미,https://www.youtube.com/watch?v=6z-DUTfkjpg
8,뉴트리원 비비랩,https://www.youtube.com/watch?v=x9LuqfbR4MU
9,엠디,https://www.youtube.com/watch?v=-eQnOwGTk7o
10,비쎌,https://www.youtube.com/watch?v=N2UHQy3POWo&feature=youtu.be
11,휴롬,https://www.youtube.com/watch?v=GxN_BkqXtNw
12,신일,https://www.youtube.com/watch?v=9bd-cKFMoJg
13,오스템,https://www.youtube.com/watch?v=a8w3D-6zehs
14,동국제약 센텔리안,https://www.youtube.com/watch?v=Z0hi5ztHiDM
